,PERSON_ID,PLAYER_AGE,SEASON_ID,GP,W,L,W_PCT,MIN,PLUS_MINUS,DD2,TD3,HEIGHT,WEIGHT,SEASON_EXP,POSITION,FGM,FGA,FG3M,FTM,FTA,REB,AST,TOV,STL,BLK,PTS
2036,1627737,22.0,2019-20,59,15,44,0.254,1196.128333,-227,9,0,6-9,240,4,Forward,210,385,8,120,156,365,114,78,39,62,548
2037,1626188,24.0,2016-17,14,9,5,0.643,187.46,-41,0,0,6-1,180,4,Guard,33,66,11,2,5,7,26,13,4,0,79
2038,1626188,24.0,2016-17,14,9,5,0.643,187.46,-41,0,0,6-1,180,4,Guard,33,66,11,2,5,7,26,13,4,0,79
2039,1626188,24.0,2016-17,14,9,5,0.643,187.46,-41,0,0,6-1,180,4,Guard,33,66,11,2,5,7,26,13,4,0,79
2040,1626188,25.0,2017-18,33,21,12,0.636,740.5033333,-39,0,0,6-1,180,4,Guard,122,252,46,22,25,82,89,32,12,1,312
2041,1626188,26.0,2018-19,74,49,25,0.662,1058.901667,-133,0,0,6-1,180,4,Guard,204,439,81,20,26,157,116,50,20,3,509
2042,1626188,27.0,2019-20,44,31,13,0.705,507.9516666999999,56,0,0,6-1,180,4,Guard,91,214,31,11,14,51,49,33,12,2,224
2043,1627767,20.0,2016-17,17,9,8,0.529,198.655,-53,3,0,6-8,219,4,Forward-Center,36,76,0,15,21,73,4,7,4,7,87
2044,1627767,21.0,2017-18,52,29,23,0.5579999999999999,580.95,-106,3,0,6-8,219,4,Forward-Center,102,176,0,50,66,211,19,28,11,21,254
2045,1627767,22.0,2018-19,64,27,37,0.42200000000000004,895.645,-88,10,0,6-8,219,4,Forward-Center,168,271,1,50,67,332,33,49,29,33,387
2046,1627767,23.0,2019-20,47,20,27,0.426,478.54,-47,1,0,6-8,219,4,Forward-Center,92,142,1,34,39,131,22,32,11,12,219
2047,1627739,23.0,2016-17,78,30,48,0.385,1333.0,-132,1,0,6-3,205,4,Guard,118,313,21,36,59,166,188,89,78,36,293
2048,1627739,24.0,2017-18,52,19,33,0.365,1524.833333,-276,4,0,6-3,205,4,Guard,286,666,43,84,114,221,310,150,104,27,699
2049,1627739,25.0,2018-19,46,14,32,0.304,1389.353333,-223,2,0,6-3,205,4,Guard,215,506,34,55,69,187,277,104,68,21,519
2050,1627739,26.0,2019-20,51,19,32,0.373,1268.62,-29,0,0,6-3,205,4,Guard,152,342,29,40,54,186,173,68,101,17,373
2051,203954,23.0,2016-17,31,13,18,0.419,786.06,67,9,0,7-0,280,4,Center-Forward,200,429,36,191,244,243,66,117,27,76,627
2052,203954,24.0,2017-18,63,41,22,0.6509999999999999,1912.135,486,38,0,7-0,280,4,Center-Forward,510,1056,66,359,467,690,199,234,40,111,1445
2053,203954,25.0,2018-19,64,43,21,0.672,2154.305,373,58,2,7-0,280,4,Center-Forward,580,1199,79,522,649,871,234,226,46,122,1761
2054,203954,26.0,2019-20,51,32,19,0.627,1505.815,163,37,0,7-0,280,4,Center-Forward,382,801,57,351,435,593,152,159,45,65,1172
